Log 2 Ratio RNA Protrusion/Body_1,Log 2 Ratio RNA Protrusion/Body_2,ENSG,Gene name,Protein name,Uniprot
-0.0593097,0.0609353,ENSG00000125875,TBC1D20,TBC1 domain family member 20,A8K6I3;B9A6M1;Q5JWQ7;Q6ZSY8;Q96BZ9;Q96NE1;Q9BYM7;Q9H140
0.0758603,0.0607953,ENSG00000111799,COL12A1,Collagen alpha-1(XII) chain,A2A2K4;A2A2K5;B9EJB8;C9JLI9;O43853;Q15955;Q5TF09;Q5VYK1;Q5VYK2;Q71UR3;Q86TG9;Q99715;Q99716
-0.0423499,0.0605752,ENSG00000214274,ANG,Angiogenin,P03950;Q05CV1;Q53X86;Q6P5T2;Q8WXE7
0.19225,0.0603552,ENSG00000115806,GORASP2,Golgi reassembly-stacking protein 2,B4DEI4;B4DKT0;B4DNR1;B4DQF1;Q53TE3;Q96I74;Q96K84;Q9H8Y8;Q9H946;Q9UFW4
0.19944,0.0602551,ENSG00000159720,ATP6V0D1,V-type proton ATPase subunit d 1,B2R7M1;B7Z788;C6SUN6;P12953;P61421;Q02547
0.0542605,0.0598555,ENSG00000148154,UGCG,Ceramide glucosyltransferase,Q16739;Q5T258
0.816988,0.0585055,ENSG00000168438,CDC40,Pre-mRNA-processing factor 17,B2RBC5;B4DHE3;O60508;O75471;Q53H60;Q59H56;Q5SRM8;Q5SRM9;Q5SRN0;Q5SRN1;Q9UPG1
0.1181,0.0583854,ENSG00000136379,FAM108C1,Alpha/beta hydrolase domain-containing protein 17C,B4DQ28;Q1RMD6;Q6PCB6;Q9NPM1
-0.150878,0.0580244,ENSG00000186130,ZBTB6,Zinc finger and BTB domain-containing protein 6,A8K8N6;Q15916
0.15165,0.0577953,ENSG00000121058,COIL,Coilin,B2R931;P38432
0.11166,0.0576053,ENSG00000100888,CHD8,Chromodomain-helicase-DNA-binding protein 8,Q4G0D8;Q68DQ0;Q6DKH9;Q6P440;Q6ZNL7;Q8N3Z9;Q8NCY4;Q8TBR9;Q96F26;Q9HCK8
0.40484,0.0574956,ENSG00000117419,ERI3;PRNPIP,ERI1 exoribonuclease 3,B1AK96;B1AK97;B1AK98;B4DEX5;B4DN03;C9JA73;C9JA75;O43414;Q5T2T5;Q5T2T6;Q5T2T7;Q5T2T8;Q5T2T9;Q5TG35;Q9BQA0;Q9UEB4
0.0426502,0.0565653,ENSG00000159267,HLCS,Biotin--[acetyl-CoA-carboxylase] ligase;Biotin--[methylcrotonoyl-CoA-carboxylase] ligase;Biotin--[methylmalonyl-CoA-carboxytransferase] ligase;Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase;Biotin--protein ligase,B2RAH1;C9JCQ9;C9JD75;P50747;Q99451
0.14537,0.0562453,ENSG00000175104,TRAF6,TNF receptor-associated factor 6,A6NKI7;A8KAB3;Q8NEH5;Q9Y4K3
1.3954,0.0561652,ENSG00000214046,C19orf42,Small integral membrane protein 7,A8MX44;B7WNH4;Q9BQ49
-0.09953,0.0561352,ENSG00000113300,CNOT6,CCR4-NOT transcription complex subunit 6,A7MD46;Q9ULM6
-0.525939,0.0559251,ENSG00000115239,ASB3,Ankyrin repeat and SOCS box protein 3,B3KPA3;B4DZX6;B5MC11;C9JYB4;Q2TAI4;Q53H66;Q53HI5;Q53TN0;Q53TN8;Q59EL6;Q9NVZ2;Q9Y575
0.332421,0.0559075,ENSG00000161558,TMEM143,Transmembrane protein 143,A8K656;B4DG49;B4DMR6;B4DMT0;B4DPF8;B4E130;Q6UXY4;Q96AN5;Q9NV49
0.0813501,0.0557451,ENSG00000169093,ASMTL,N-acetylserotonin O-methyltransferase-like protein,B3KM43;B4DN81;B4DRF1;B4DX75;O95671;Q5JQ53;Q8NBH5;Q96G02;Q9BUL6
-0.12837,0.0555553,ENSG00000130363,RSPH3,Radial spoke head protein 3 homolog,Q86UC2;Q96LQ5;Q96LX2;Q9BX75
-0.24071,0.0555353,ENSG00000130830,AAG12;MPP1,55 kDa erythrocyte membrane protein,A6NFY0;A8MTH1;B4DZV5;B4E325;C9J9J4;C9JB34;Q00013;Q2TSB6;Q53F93;Q5J7V5
0.12635,0.0554051,ENSG00000137338,PGBD1,PiggyBac transposable element-derived protein 1,A8K5B3;Q53F43;Q6NTF5;Q8WWS4;Q96JS3
0.44718,0.0552952,ENSG00000138050,THUMPD2,THUMP domain-containing protein 2,A8K7I7;B4DP37;B4DW36;B5MD15;Q53TT8;Q53TV0;Q9BTF0
0.708801,0.0552473,ENSG00000186787,SPIN2B,Spindlin-2B,Q5JZB7;Q5JZB8;Q7Z2M0;Q9BPZ2
0.0256102,0.0552454,ENSG00000141424,SLC39A6,Zinc transporter ZIP6,B4DR49;B4E224;Q13433;Q8IXR3;Q96HP5
0.05216,0.0549655,ENSG00000130962,PRRG1,Transmembrane gamma-carboxyglutamic acid protein 1,B2R7A3;C9J6P5;C9JNY5;C9JXL7;O14668;Q5JT66;Q8NEK6
-0.294584,0.0549474,ENSG00000196584,DKFZp781P0919;XRCC2,DNA repair protein XRCC2,B2R925;O43543;Q68DV8
0.46944,0.0549154,ENSG00000173334,TRIB1,Tribbles homolog 1,B4DMM6;C5HU08;O15180;Q96RU8;Q9H2Y8
0.156096,0.0548253,ENSG00000103852,TTC23,Tetratricopeptide repeat protein 23,A8K6M5;B3KMY5;Q53HK0;Q5W5X9;Q96BC9;Q9H8W9;Q9H9S7
0.0640399,0.0547853,ENSG00000181885,CLDN7,Claudin-7,B2R9X7;C9JC38;O95471;Q6IPN3;Q7Z4Y7;Q9BVN0
0.28161,0.0547252,ENSG00000165996,PTPLA,Very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase 1,A6NP58;B0YJ80;B0YJ81;Q6JIC5;Q96FW7;Q9HB93;Q9UHX2
0.58037,0.0546653,ENSG00000186625,KATNA1,Katanin p60 ATPase-containing subunit A1,A8K7S5;B7ZBC8;B7ZBC9;O75449;Q5TFA8;Q5TFA9;Q86VN2;Q9NU52
-0.0869396,0.0539155,ENSG00000124357,NAGK,N-acetyl-D-glucosamine kinase,B4DLZ5;C9J4G1;C9JB48;C9JEV6;C9JMR7;Q53HD5;Q6IA84;Q6ZMB4;Q9BS29;Q9BVP0;Q9NV37;Q9UJ70
0.0711601,0.053905,ENSG00000151276,MAGI1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",A8K188;O00309;O43863;O75085;Q96QZ7;Q96QZ8;Q96QZ9
-0.01632,0.0526752,ENSG00000132383,RPA1,Replication protein A 70 kDa DNA-binding subunit,A8K0Y9;P27694;Q59ES9
-0.15236,0.0522654,ENSG00000083168,ASXL2;KAT6A;MYST3,Histone acetyltransferase KAT6A;Putative Polycomb group protein ASXL2,A5PKX7;A5PLL3;C9JJY6;C9K0F9;Q76L81;Q92794
0.0201702,0.0521255,ENSG00000058063,ATP11B;DKFZp779H1459,Probable phospholipid-transporting ATPase IF,A5XEH5;B3KSJ2;B4DKX1;B4E3T1;Q7Z678;Q8N4L6;Q96FN1;Q9UKK7;Q9Y2G3
-1.0806,0.0520732,ENSG00000164631,HZF11;ZNF12,Zinc finger protein 12,A8MYC4;A8WFQ8;B2RNQ7;B4DF45;P17014;Q6N016;Q6RFS4;Q8NHZ0;Q9H9P0;Q9ULZ6
0.0630805,0.0517955,ENSG00000169084,DHRSX,Dehydrogenase/reductase SDR family member on chromosome X,B5ME41;C9JB06;C9JRH1;Q6UWC7;Q8N5I4;Q8WUS4;Q96GR8;Q9NTF6
-0.18652,0.0517052,ENSG00000141034,C17orf39,Glucose-induced degradation protein 4 homolog,B3KXL6;Q8IVV7;Q8TEB5;Q9BW50
0.1773,0.0516253,ENSG00000103024,c371H6.2;NME3,Nucleoside diphosphate kinase;Nucleoside diphosphate kinase 3,Q13232;Q9BWH4;Q9NUF9
-0.13365,0.0514953,ENSG00000104331,IMPAD1,Inositol monophosphatase 3,Q6NVY7;Q9NX62
-0.14677,0.0512052,ENSG00000164576,SAP30L,Histone deacetylase complex subunit SAP30L,Q9HAJ7
-0.41717,0.0508053,ENSG00000205141,HSP90B2P,Putative endoplasmin-like protein,Q58FF3
-0.0991697,0.0506353,ENSG00000138760,SCARB2,Lysosome membrane protein 2,B4DKD8;Q14108;Q53Y63
0.11953,0.0505857,ENSG00000071054,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4,B7Z3V5;C9J840;O75172;O95819;Q53TW0;Q53TX8;Q5MD60;Q9NST7
0.59585,0.0504854,ENSG00000103381,CPPED1,Calcineurin-like phosphoesterase domain-containing protein 1,B3KSL3;B4DQ68;Q6MZY9;Q9BRF8;Q9H9M9;Q9NUT6
-0.61775,0.0499654,ENSG00000109381,ELF2,ETS-related transcription factor Elf-2,B0KYV4;B7Z720;B7Z8R4;Q15723;Q15724;Q15725;Q6P1K5
0.5085,0.0494754,ENSG00000128335,APOL2,Apolipoprotein L2,B0QYK7;B0QYK8;B4E1T5;O95915;Q59GW9;Q5TH96;Q969T6;Q9BQE5;Q9BT28;Q9UGT1;Q9UH10
-0.19629,0.0493653,ENSG00000066135,KDM4A,Lysine-specific demethylase 4A,B4DGH3;B4DT38;O75164;Q5VVB1
0.0310602,0.0491452,ENSG00000166233,ARIH1,E3 ubiquitin-protein ligase ARIH1,B2R6U3;O76026;Q59FM8;Q9H3T6;Q9UEN0;Q9UP39;Q9Y4X5
0.22831,0.0487556,ENSG00000130939,UBE4B,Ubiquitin conjugation factor E4 B,A8K8S9;B1AQ61;B4E2Y2;O75169;O95155;O95338;Q5SZ12;Q5SZ16;Q96QD4;Q9BYI7
0.360366,0.0487494,ENSG00000148346,LCN2;NGAL,Neutrophil gelatinase-associated lipocalin,A6NII8;B2ZDQ1;B4DWV4;B7ZAA2;P30150;P80188;Q5SYV9;Q5SYW0;Q6FGL5;Q92683
0.13893,0.0472152,ENSG00000119203,CPSF3,Cleavage and polyadenylation specificity factor subunit 3,A4UCU1;B4DQR2;C9JZH6;O14769;Q05BZ5;Q53F02;Q53RS2;Q96F36;Q9UKF6
0.12133,0.0458655,ENSG00000177383,MAGEF1,Melanoma-associated antigen F1,Q9H215;Q9HAY2
-0.515958,0.0457854,ENSG00000162777,DENND2D;DKFZp667I053,DENN domain-containing protein 2D,B4DWL2;Q5T5V6;Q8TCN6;Q9BSU0;Q9H6A0
-0.34363,0.0454452,ENSG00000185238,PRMT3,Protein arginine N-methyltransferase 3,B4DP44;B4DUC7;B4DWB1;O60678;Q8WUV3
0.0475001,0.0454354,ENSG00000087448,KLHDC5,Kelch-like protein 42,B2RNT7;Q2VPK1;Q8N334;Q9P2K6
0.0604599,0.0451853,ENSG00000102900,NUP93,Nuclear pore complex protein Nup93,A8K897;B3KPQ8;Q14705;Q8N1F7
0.0495603,0.0451355,ENSG00000196352,CD55;DAF,Complement decay-accelerating factor,B1AP13;B1AP14;B1AP15;B1AP16;B2R658;B4DPY4;P08174;P09679;P78361;Q14UF4;Q14UF5;Q14UF6;Q76N74
0.21125,0.0450554,ENSG00000110344,UBE4A,Ubiquitin conjugation factor E4 A,B0YJB6;B4DK32;B7Z7P0;Q14139;Q2M1H0;Q6P5T4;Q7Z639
0.09061,0.0450459,ENSG00000145901,DKFZp686L19154;NAF1;TNIP1,TNFAIP3-interacting protein 1,A4F1W8;A4F1W9;A4F1X2;A4F1X4;A4F1X5;A4F1X6;A4F1X7;A4F1X9;A4F1Y0;A8K4N4;B7Z5B0;B7Z699;B7Z8K2;O76008;Q05KP3;Q05KP4;Q15025;Q6N077;Q96EL9;Q99833;Q9H1J3
0.07392,0.0448256,ENSG00000160679,C1orf77;CHTOP,Chromatin target of PRMT1 protein,Q0VAQ8;Q2VPI9;Q5T7Y7;Q5T7Y8;Q5T7Y9;Q5T7Z0;Q6NSM4;Q6PB28;Q8WYT9;Q9BUC5;Q9H034;Q9H2L0;Q9Y3Y2
0.287156,0.044095,ENSG00000182185,RAD51B;RAD51L1,DNA repair protein RAD51 homolog 2,C9J5S9;C9JFX3;C9JSP9;C9JYJ0;O15315;O60914;O75210;Q3Y4F8;Q6FHX8;Q86SY3;Q86SY4;Q86TR0;Q86U92;Q86U93;Q86U94;Q8N6H4;Q9UPL5
-0.65365,0.0431952,ENSG00000154767,XPC,DNA repair protein complementing XP-C cells,A8K146;B4DIP3;Q01831;Q53GT7;Q96AX0
-0.0338199,0.0428553,ENSG00000125652,ALKBH7,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7,B2R4U9;Q53FF3;Q9BT30
2.47233,0.0427852,ENSG00000128590,DNAJB9;WUGSC:H_RG054D04.3,DnaJ homolog subfamily B member 9,O95037;Q6FIF1;Q9UBS3
0.23785,0.0425253,ENSG00000158435,C2orf29,CCR4-NOT transcription complex subunit 11,B3KNB0;Q6P2M9;Q8N681;Q9UKZ1
-0.18164,0.0424254,ENSG00000170802,FOXN2,Forkhead box protein N2,B9ZVT7;C9JTA7;P32314;Q15769;Q6IS90;Q6P4Q2
0.17555,0.0423255,ENSG00000138758,Sep-11,Septin-11,B7Z7Z6;Q4W5G1;Q7L4N1;Q96KC0;Q96SP1;Q9NVA2;Q9UFY9
0.30438,0.0420852,ENSG00000188186,C7orf59,Ragulator complex protein LAMTOR4,C9JXA7;Q0VGL1
0.0591602,0.0420253,ENSG00000128645,HOXD1,Homeobox protein Hox-D1,B2RAB4;B8ZZU5;Q8IZ25;Q96CA4;Q9GZZ0
0.0445902,0.0419154,ENSG00000135862,LAMC1,Laminin subunit gamma-1,P11047;Q5VYE7;Q6NVY8
-0.28298,0.0419054,ENSG00000074755,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1,A7MBM5;C9J6T4;O43149;Q6NXG0;Q6ZRA1;Q6ZSF4;Q9NVB9
0.51212,0.0410755,ENSG00000168301,KCTD6,BTB/POZ domain-containing protein KCTD6,B3KNI5;C9IZV8;Q8NBS6;Q8NC69;Q8TCA6
-0.0721598,0.0405154,ENSG00000133794,ARNTL,Aryl hydrocarbon receptor nuclear translocator-like protein 1,A2I2N6;A8K645;B2RCL8;B5ME11;B7WP33;B7WPG7;C9J4L0;C9JYE8;O00313;O00314;O00315;O00316;O00317;O00327;Q4G136;Q8IUT4;Q99631;Q99649
0.0137703,0.0402553,ENSG00000157379,DHRS1,Dehydrogenase/reductase SDR family member 1,Q8NDG3;Q96B59;Q96CQ5;Q96LJ7
0.44881,0.0401752,ENSG00000006695,COX10,"Protoheme IX farnesyltransferase, mitochondrial",B2R6U5;B4DFR1;B4DJ50;O15334;Q12887;Q969F7
-0.0238197,0.0397954,ENSG00000137494,ANKRD42,Ankyrin repeat domain-containing protein 42,A1DRY3;A1XPJ0;Q49A49;Q6P5R7;Q8N9B4
0.414392,0.0397122,ENSG00000137462,TLR2,Toll-like receptor;Toll-like receptor 2,B3KWR9;B3Y612;C6KIA6;C6KIA9;O15454;O60603;Q8NI00
0.601678,0.0389543,ENSG00000166578,IQCD,IQ domain-containing protein D,C9JL81;Q6ZSU0;Q96DY2
-0.0294402,0.0386257,ENSG00000174886,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,B5MDX2;C9JT23;Q6ZS66;Q86Y39
0.29119,0.0385752,ENSG00000118518,RNF146,E3 ubiquitin-protein ligase RNF146,Q6FIB2;Q7L8H4;Q96K03;Q96T06;Q9NTX6;Q9NTX7
0.26075,0.0383651,ENSG00000148019,CEP78,Centrosomal protein of 78 kDa,A1A4S8;A8MST6;B7Z8H9;Q5BJE3;Q5JTV9;Q5JTW0;Q5JTW1;Q5JTW2;Q9H9N3
-0.13726,0.0383554,ENSG00000104341,LAPTM4B;LC27,Lysosomal-associated transmembrane protein 4B,Q3ZCV5;Q7L909;Q86SJ0;Q86VH8;Q86VI4;Q9H060;Q9NY06
0.22026,0.0383253,ENSG00000153406,NMRAL1,NmrA-like family domain-containing protein 1,Q9HBL8
0.20051,0.0383153,ENSG00000090857,PDPR,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",A7E298;A8K8Y7;B3KSE1;B4DZL5;B7ZAR9;Q6AI20;Q6AWC9;Q8NCN5;Q9NWE6
0.0211601,0.0378852,ENSG00000198554,WDHD1,WD repeat and HMG-box DNA-binding protein 1,A8KAE0;A8MRA5;B3KMC2;B3KMD2;B3KMD9;C9JW18;C9JYB3;O75717;Q05DR3
0.26504,0.0377054,ENSG00000135018,UBQLN1,Ubiquilin-1,B3KNI2;B3KNI8;Q59FJ2;Q5T6J5;Q5T6J9;Q8IXS9;Q8N2Q3;Q9H0T8;Q9H3R4;Q9HAZ5;Q9UMX0
0.0774801,0.0368152,ENSG00000120539,MASTL,Serine/threonine-protein kinase greatwall,Q5T8D5;Q5T8D7;Q8NCD6;Q96GX5;Q96SJ5
0.0782599,0.0367553,ENSG00000177119,ANO6,Anoctamin;Anoctamin-6,A6NNM6;B3KX12;B4DZA5;B4E1V1;B9EGG0;C9JCS2;Q4KMQ2;Q8N3Q2
1.09508,0.0367362,ENSG00000076770,MBNL3,Muscleblind-like protein 3,B1AKI2;B1AKI4;B1AKI5;B1AKI6;Q5JXN8;Q5JXN9;Q5JXP4;Q6UDQ1;Q8IUR4;Q8TAD9;Q8TAF4;Q9H0Z7;Q9NUK0;Q9UF37
0.49223,0.0359952,ENSG00000177613,CSTF2T,Cleavage stimulation factor subunit 2 tau variant,B2RAR9;O75174;Q53HK6;Q7LGE8;Q8N6T1;Q9H0L4
0.0853302,0.0354953,ENSG00000119760,SUPT7L,STAGA complex 65 subunit gamma,B4E3W3;O94864;Q6IB21;Q9H2T6
0.17446,0.0351152,ENSG00000175575,PAAF1,Proteasomal ATPase-associated factor 1,A6NDR5;B4DPB0;B7ZAS9;Q4G165;Q53HS9;Q7Z500;Q8TBU6;Q9BRP4;Q9HAB6
0.0814397,0.0351052,ENSG00000172070,SRXN1,Sulfiredoxin-1,B2R543;Q8NDM3;Q96AK6;Q9BYN0
-0.17854,0.0348854,ENSG00000231167,,,C9JHJ9
0.118088,0.0347805,ENSG00000128284,APOL3,Apolipoprotein L3,B1AHI4;B1AHI5;B1AHI6;O95236;Q5U5N4;Q9BQ82;Q9BQA3
0.70975,0.0344553,ENSG00000197302,ZNF720,Putative protein ZNF720,Q6ZQX1;Q7Z2F6
0.47072,0.0330853,ENSG00000125611,C2orf9;CHCHD5,Coiled-coil-helix-coiled-coil-helix domain-containing protein 5,B2R5K5;Q585T4;Q8N8C4;Q9BSY4
0.14152,0.0329356,ENSG00000101413,RPRD1B,Regulation of nuclear pre-mRNA domain-containing protein 1B,A2A2M0;Q1WDE7;Q6PKF4;Q9NQG5
0.22739,0.0329053,ENSG00000139372,TDG,G/T mismatch-specific thymine DNA glycosylase,B2R848;B4DI29;B4DSN7;B4E127;Q05CX8;Q13569;Q3SX60;Q8IUZ6;Q8IZM3
0.7431,0.0325255,ENSG00000131503,ANKHD1;ANKHD1-EIF4EBP3;DKFZp586G1024;FLJ00246,Ankyrin repeat and KH domain-containing protein 1,A6NH85;Q149P2;Q7Z586;Q8IWG5;Q8IWZ2;Q8IWZ3;Q8TEF1;Q8WY90;Q96G77;Q96GK0;Q9H059;Q9H2U0;Q9H7X4;Q9HA95;Q9NWG4;Q9NXF0;Q9UPR7
0.42133,0.0320053,ENSG00000101911,PRPS2,Ribose-phosphate pyrophosphokinase;Ribose-phosphate pyrophosphokinase 2,A6NMS2;B2R860;D3YTJ7;P11908;Q0VDH9;Q0VDI0;Q15245;Q2TAK7
-0.0882199,0.0314155,ENSG00000143437,ARNT,Aryl hydrocarbon receptor nuclear translocator,A6NGV6;A8K6P0;B0AZM1;B2R9H1;B4E3L5;C4AMA1;C9J0D7;O43392;P27540;Q53F30;Q59ED4;Q5QP39;Q8NDC7
-0.0632699,0.0313854,ENSG00000161791,DKFZp762B245;FMNL3,Formin-like protein 3,B0JZA7;B3KXD8;Q6ZRJ1;Q8IVF7;Q8N4Y7;Q9NSL0
-0.29681,0.0312352,ENSG00000071205,ARHGAP10;DKFZp667D142;FLJ20896,Rho GTPase-activating protein 10,A1A4S6;A1L0S5;B3KVP5;B4E2W2;Q2VPC4;Q2VPC5;Q3KQX3;Q6IA27;Q86T21;Q8ND72;Q96EV3;Q96S75;Q9H7G7
-0.0685699,0.0308056,ENSG00000143811,DKFZp434J218;P5CR2;PYCR2,Pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 2,A6NMB5;A8K798;B3KMB7;B4DQK8;Q4W8W1;Q5TE90;Q5TE92;Q5TE93;Q7Z515;Q8NCZ0;Q96C36;Q9Y5J4
0.48516,0.0307755,ENSG00000159873,CCDC117,Coiled-coil domain-containing protein 117,A8K0F1;B0QYH1;B0QYH3;B7Z820;B7Z860;Q6ICA7;Q8IWD4;Q8N278
0.27102,0.0293555,ENSG00000108733,PEX12,Peroxisome assembly protein 12,A0PJ54;B2R6M2;O00623
-0.94883,0.0291555,ENSG00000135931,ARMC9,LisH domain-containing protein ARMC9,A6NIB1;C9J535;C9JW07;Q53TI3;Q6P162;Q7L594;Q7Z3E5;Q86WG2;Q96JF9;Q9H9R8
0.25886,0.0290852,ENSG00000146416,AIG1,Androgen-induced gene 1 protein,B4DPX2;C9J569;Q53HV5;Q5T2H0;Q5T2H2;Q5T2H3;Q5T2H4;Q5THU2;Q6N047;Q7Z378;Q8TB14;Q9NVV5;Q9Y3A9;Q9Y5B4
-0.01844,0.0289655,ENSG00000135047,CTSL;CTSL1,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,A5PLM9;B3KQK4;P07711;Q5K630;Q5T8F0;Q6IAV1;Q6LAF7;Q8NG13;Q96QJ0;Q9HBQ7
0.14101,0.0284956,ENSG00000137177,KIF13A,Kinesin-like protein KIF13A,A0JP21;A0JP22;Q5JV47;Q5THQ2;Q5THQ3;Q9H193;Q9H194;Q9H1H8;Q9H1H9;Q9H6Z3
0.04618,0.0284753,ENSG00000068079,IFI35,Interferon-induced 35 kDa protein,C9JGX1;P80217;Q92984;Q99537;Q9BV98
0.0393903,0.0282855,ENSG00000100994,PYGB,"Glycogen phosphorylase, brain form;Phosphorylase",B4DSD8;P11216;Q59GM9;Q5JWL9;Q8TDG6;Q96AK1;Q9NPX8
-0.24114,0.0279753,ENSG00000125352,RNF113A;SAMD13,RING finger protein 113A,A2VCQ9;B2RBR7;O15541
0.12744,0.0278053,ENSG00000170776,AKAP13,A-kinase anchor protein 13,A8MYJ1;B0AZU4;B7ZW05;Q12802;Q14572;Q59FP6;Q86W90;Q8WXQ6;Q96JP6;Q96P79;Q9Y5T0;Q9Y5T6
-0.0904095,0.0276952,ENSG00000174840,PDE12,"2',5'-phosphodiesterase 12",B4DTU8;Q6L8Q7;Q8IYU3;Q8NDU2;Q8TE78
-0.18139,0.0276554,ENSG00000159110,IFNAR2,Interferon alpha/beta receptor 2,A8KAJ4;A8MPS5;C9JCU0;C9JM33;C9K067;P48551;Q15467;Q6FHD7;Q9BUA0
0.20437,0.0264952,ENSG00000083093,PALB2,Partner and localizer of BRCA2,A6NIE1;B4DR89;Q86YC2;Q8N7Y6;Q8ND31;Q9H6W1
-0.13903,0.0263653,ENSG00000163507,KIAA1524,Protein CIP2A,A1L4J7;B9EGC3;Q6P4G6;Q8TCG1;Q8WVP8;Q96PI2;Q9H9C6;Q9P204
0.1648,0.0261154,ENSG00000047579,DTNBP1,Dysbindin,A6NFV8;A8K3V3;A8MZA9;Q5THY3;Q5THY4;Q96EV8;Q96NV2;Q9H0U2;Q9H3J5
-0.0673997,0.0259054,ENSG00000150281,CTF1,Cardiotrophin-1,A8MVX4;Q16619;Q5U5Y7
0.13915,0.0256152,ENSG00000092203,TOX4,TOX high mobility group box family member 4,B4DJ39;B4DPY8;B4DSM0;C9J919;C9JNL1;O94842
0.0330102,0.0252357,ENSG00000165891,E2F7,Transcription factor E2F7,A6NC74;B2RMR7;B3KTZ5;B3KUP8;B5MED9;Q96AV8
0.16669,0.0251753,ENSG00000139438,C12orf34,Protein FAM222A,Q5U5X8;Q8NCD5;Q96SP6
0.0736201,0.0249553,ENSG00000096696,DSP;DSP variant protein,Desmoplakin,A8MUW8;B2RTT2;B4DKX6;B4DWT7;D3YTG2;O75993;P15924;Q14189;Q4LE79;Q9UHN4
-2.06454,0.0248554,ENSG00000221995,TIAF1,TGFB1-induced anti-apoptotic factor 1,A2RRE2;O95411;Q6PEG2
-0.0197597,0.0246854,ENSG00000057294,PKP2,Plakophilin-2,A0AV37;B4DR79;B8QFA1;B8QGS6;B8QGS7;B8QGS9;D3DUW9;Q4VC01;Q99959;Q99960
-0.171946,0.0245833,ENSG00000154914,USP43,Ubiquitin carboxyl-terminal hydrolase 43,A6NDT9;B7ZLT9;B7ZVX5;Q70EL4;Q8N2C5;Q96DQ6
-0.16067,0.0244751,ENSG00000074842,C19orf10,UPF0556 protein C19orf10,O75256;O75272;Q969H8;Q9BTK7;Q9NP69
0.27774,0.0244253,ENSG00000143669,LYST,Lysosomal-trafficking regulator,B7ZMN7;O43274;Q5T2U9;Q96TD7;Q96TD8;Q99698;Q99709;Q9H133
0.13184,0.0242155,ENSG00000168806,LCMT2,Leucine carboxyl methyltransferase 2,A8K972;B4DUW3;O60294;Q4JFT6;Q96B55;Q9NR10
-0.0499198,0.0242052,ENSG00000143294,PRCC,Proline-rich protein PRCC,A6NG79;A8K1F7;O00665;O00724;Q5SZ05;Q5SZ06;Q92733;Q96FT4
-0.531521,0.0241842,ENSG00000189298,ZKSCAN3,Zinc finger protein with KRAB and SCAN domains 3,B2R8W2;B3KR99;B3KVC0;Q5VXH3;Q92972;Q9BRR0;Q9H4T3
-0.0422497,0.0237052,ENSG00000141013,GAS8,Growth arrest-specific protein 8,B2RCT1;B7Z1U9;B7Z1X3;B7Z4U1;B7Z9B0;O95995;Q2M234
-0.5216,0.0236149,ENSG00000113360,DROSHA,Ribonuclease 3,Q59FF9;Q7Z5V2;Q86YH0;Q9NRR4;Q9NW73;Q9Y2V9;Q9Y4Y0
-0.0828698,0.0234551,ENSG00000108349,CASC3,Protein CASC3,A8K8R0;B4DKR6;O15234
-0.02548,0.0234551,ENSG00000141279,NPEPPS,Puromycin-sensitive aminopeptidase,B3KTP2;B3KU93;B7Z1H4;B7Z1V9;B7Z4B2;B7Z899;P55786;Q6P145;Q9NP16;Q9UEM2
0.55781,0.0228952,ENSG00000172869,DMXL1,DmX-like protein 1,B2RWN7;Q05C95;Q9Y485
-0.00981975,0.0227551,ENSG00000007080,CCDC124,Coiled-coil domain-containing protein 124,Q96CT7
-0.341221,0.0227015,ENSG00000145362,ANK2;DKFZp686P0948,Ankyrin-2,A5XEK0;B7Z636;B7Z651;B7Z678;C9JEU3;Q01484;Q01485;Q08AC7;Q08AC8;Q7Z307;Q7Z3L5
0.13107,0.0221953,ENSG00000206418,RAB12,Ras-related protein Rab-12,A6NEF5;Q4KMQ3;Q6IQ22
0.0006001,0.0217652,ENSG00000103061,SLC7A6OS,Probable RNA polymerase II nuclear localization protein SLC7A6OS,Q8TCZ3;Q96CW6;Q9H8R8
0.63636,0.0217352,ENSG00000196950,SLC39A10,Zinc transporter ZIP10,A8K5C6;B4DGU0;C9J0F5;Q05C42;Q3MJA4;Q68CR5;Q6DKH6;Q8NC35;Q9ULF5;Q9Y3Z1
0.0898502,0.0215054,ENSG00000168496,FEN1,Flap endonuclease 1,B4DWZ4;P39748;Q6FHX6
0.0416701,0.0213752,ENSG00000100201,DDX17,Probable ATP-dependent RNA helicase DDX17,B1AHM0;B1AHM1;B1AHM2;B4DZQ7;C9J5E1;C9JMU5;Q59F66;Q69YT1;Q6ICD6;Q92841;Q9UQL5
